"書籍名","作者"
"To Kill a Mockingbird","Harper Lee"
"1984","George Orwell"
"Harry Potter and the Sorcerer's Stone","J.K. Rowling"
"The Lord of the Rings","J.R.R. Tolkien"
"The Great Gatsby","F. Scott Fitzgerald"
"Pride and Prejudice","Jane Austen"
"The Diary of a Young Girl","Anne Frank"
"The Book Thief","Markus Zusak"
"The Hobbit","J.R.R. Tolkien"
"Little Women","Louisa May Alcott"
"Fahrenheit 451","Ray Bradbury"
"Jane Eyre","Charlotte Bronte"
"Animal Farm","George Orwell"
"Gone with the Wind","Margaret Mitchell"
"The Catcher in the Rye","J.D. Salinger"
"The Chronicles of Narnia","C.S. Lewis"
"Brave New World","Aldous Huxley"
"The Hunger Games","Suzanne Collins"
"Moby Dick","Herman Melville"
"The Kite Runner","Khaled Hosseini"
"The Grapes of Wrath","John Steinbeck"
"War and Peace","Leo Tolstoy"
"The Alchemist","Paulo Coelho"
"Les Mis?rables","Victor Hugo"
"Wuthering Heights","Emily Bronte"
"Slaughterhouse-Five","Kurt Vonnegut"
"Don Quixote","Miguel de Cervantes"
"The Picture of Dorian Gray","Oscar Wilde"
"Dracula","Bram Stoker"
"A Tale of Two Cities","Charles Dickens"
"吾輩は猫である","夏目漱石"
"人間失格","太宰治"
"羅生門","芥川龍之介"
"こころ","夏目漱石"
"銀河鉄道の夜","宮沢賢治"
"舞姫","森鴎外"
"雪国","川端康成"
"山月記","中島敦"
"走れメロス","太宰治"
"砂の女","安部公房"
"風の又三郎","宮沢賢治"
"私の男は、宇宙人。","桜木紫乃"
"「残念な人」ほど、うまくいく。","チャーリー塚本"
"恋は五・七・五! 俳句で恋愛成就","俳句愛好家協会"
"ああ、無常。","井上ひさし"
"このミステリーがすごい! 2020年版","宝島社"
"人生がときめく片づけの魔法","近藤麻理恵"
"ゼロ・ウェイスト・ホーム","ビア・ジョンソン"
"ミニマリストの持たない暮らし","佐々木典士"
"シンプルで豊かな暮らし","ドミニク・ローホー"
"断捨離","やましたひでこ"
"人生が変わる片づけの魔法","近藤麻理恵"
"もう、人生に振り回されない","マイケル・サンデル"
"働き方 2.0","ティム・フェリス"
"一生モノの時間術","グレッグ・マキューン"
"自分を操る超集中力","メンタリストDaiGo"
"明日を変える、小さな習慣。","スティーブン・R・コヴィー"
"人生が変わる時間の使い方","Jake Knapp & John Zeratsky"
"断捨離で人生が変わる","やましたひでこ"
"シンプルで豊かな暮らし","ドミニク・ローホー"
"ミニマリストの持たない幸せ","佐々木典士"
"片づけられない女たちへ","山下英子"
"Love in the Time of Cholera","Gabriel Garcia Marquez"
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation","Lynne Truss"
"A Room with a View","E.M. Forster"
"Death Comes for the Archbishop","Willa Cather"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst"
"The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer and Annie Barrows"
"We Need to Talk About Kevin","Lionel Shriver"
"The Curious Incident of the Dog in the Night-Time","Mark Haddon"
"Me Talk Pretty One Day","David Sedaris"
"The Man Who Mistook His Wife for a Hat and Other Clinical Tales","Oliver Sacks"
"Good Omens","Neil Gaiman, Terry Pratchett"
"The Boy Who Harnessed the Wind","William Kamkwamba, Bryan Mealer"
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything","Steven D. Levitt, Stephen J. Dubner"
"S.","J.J. Abrams, Doug Dorst"
"The Expanse series","James S.A. Corey (pen name for Daniel Abraham and Ty Franck)"
"The Talisman","Stephen King, Peter Straub"
"The Gilded Wolves","Roshani Chokshi"
"Illuminae","Amie Kaufman, Jay Kristoff"
"Will Grayson"," Will Grayson,John Green, David Levithan"
"NOS4A2","Joe Hill"
""Surely You're Joking, Mr. Feynman!": Adventures of a Curious Character","Richard P. Feynman"
""What Do You Care What Other People Think?": Further Adventures of a Curious Character","Richard P. Feynman"